109,1121586000,1121586000,구의제2동,읍면동,1105061
110,1121587000,1121587000,구의제3동,읍면동,1105062
111,11230,1123000000,동대문구,시군구,1106000
112,1123051000,1123051000,신설동,읍면동,
113,1123052000,1123052000,용두제1동,읍면동,
114,1123053000,1123053000,용두제2동,읍면동,
115,1123053500,1123053500,용두동,읍면동,
116,1123053600,1123053600,용신동,읍면동,1106081
117,1123054000,1123054000,제기제1동,읍면동,
118,1123054500,1123054500,제기동,읍면동,1106082
119,1123055000,1123055000,제기제2동,읍면동,
120,1123056000,1123056000,전농제1동,읍면동,1106083
121,1123057000,1123057000,전농제2동,읍면동,1106084
122,1123058000,1123058000,전농제3동,읍면동,
123,1123059000,1123059000,전농제4동,읍면동,
124,1123060000,1123060000,답십리제1동,읍면동,1106091
125,1123061000,1123061000,답십리제2동,읍면동,1106086
126,1123062000,1123062000,답십리제3동,읍면동,
127,1123063000,1123063000,답십리제4동,읍면동,
128,1123064000,1123064000,답십리제5동,읍면동,
129,1123065000,1123065000,장안제1동,읍면동,1106087
130,1123066000,1123066000,장안제2동,읍면동,1106088
131,1123067000,1123067000,장안제3동,읍면동,
132,1123068000,1123068000,장안제4동,읍면동,
133,1123069000,1123069000,청량리제1동,읍면동,
134,1123070000,1123070000,청량리제2동,읍면동,
135,1123070500,1123070500,청량리동,읍면동,1106080
136,1123071000,1123071000,회기동,읍면동,1106071
137,1123072000,1123072000,휘경제1동,읍면동,1106072
138,1123073000,1123073000,휘경제2동,읍면동,1106073
139,1123074000,1123074000,이문제1동,읍면동,1106089
140,1123075000,1123075000,이문제2동,읍면동,1106090
141,1123076000,1123076000,이문제3동,읍면동,
142,11260,1126000000,중랑구,시군구,1107000
143,1126051000,1126051000,면목제1동,읍면동,
144,1126052000,1126052000,면목제2동,읍면동,1107052
145,1126053000,1126053000,면목제3동,읍면동,
146,1126054000,1126054000,면목제4동,읍면동,1107054
147,1126055000,1126055000,면목제5동,읍면동,1107055
148,1126056000,1126056000,면목제6동,읍면동,
149,1126056500,1126056500,면목본동,읍면동,1107071
150,1126057000,1126057000,면목제7동,읍면동,1107057
151,1126057100,1126057100,면목제8동,읍면동,
152,1126057500,1126057500,면목제3.8동,읍면동,1107072
153,1126058000,1126058000,상봉제1동,읍면동,1107059
154,1126059000,1126059000,상봉제2동,읍면동,1107060
155,1126060000,1126060000,중화제1동,읍면동,1107061
156,1126061000,1126061000,중화제2동,읍면동,1107062
157,1126061100,1126061100,중화제3동,읍면동,
158,1126062000,1126062000,묵제1동,읍면동,1107064
159,1126063000,1126063000,묵제2동,읍면동,1107065
160,1126064000,1126064000,망우제1동,읍면동,
161,1126065000,1126065000,망우제2동,읍면동,
162,1126065500,1126065500,망우본동,읍면동,1107073
163,1126066000,1126066000,망우제3동,읍면동,1107068
164,1126068000,1126068000,신내1동,읍면동,1107069
165,1126069000,1126069000,신내2동,읍면동,1107070
166,11290,1129000000,성북구,시군구,1108000
167,1129051000,1129051000,성북제1동,읍면동,
168,1129052000,1129052000,성북제2동,읍면동,
169,1129052500,1129052500,성북동,읍면동,1108081
170,1129053000,1129053000,동소문동,읍면동,
171,1129054000,1129054000,삼선제1동,읍면동,
172,1129055000,1129055000,삼선제2동,읍면동,
173,1129055500,1129055500,삼선동,읍면동,1108082
174,1129056000,1129056000,동선제1동,읍면동,
175,1129057000,1129057000,동선제2동,읍면동,
176,1129057500,1129057500,동선동,읍면동,1108083
177,1129058000,1129058000,돈암제1동,읍면동,1108058
178,1129059000,1129059000,돈암제2동,읍면동,1108059
179,1129060000,1129060000,안암동,읍면동,1108060
180,1129061000,1129061000,보문동,읍면동,1108061
181,1129062000,1129062000,정릉제1동,읍면동,1108062
182,1129063000,1129063000,정릉제2동,읍면동,1108063
183,1129064000,1129064000,정릉제3동,읍면동,1108064
184,1129065000,1129065000,정릉제4동,읍면동,1108065
185,1129066000,1129066000,길음제1동,읍면동,1108066
186,1129067000,1129067000,길음제2동,읍면동,
187,1129068000,1129068000,길음제3동,읍면동,
188,1129068500,1129068500,길음제2동,읍면동,1108068
