BASE_DATE,ADM_CD,ADM_NM
"20220630","11150570",신월1동
"20220630","11150580",신월2동
"20220630","11150590",신월3동
"20220630","11150600",신월4동
"20220630","11150610",신월5동
"20220630","11150620",신월6동
"20220630","11150630",신월7동
"20220630","11150640",신정1동
"20220630","11150650",신정2동
"20220630","11150660",신정3동
"20220630","11150690",신정6동
"20220630","11150700",신정7동
"20220630","11150710",목5동
"20220630","11150720",신정4동
"20220630","11160510",염창동
"20220630","11160520",등촌1동
"20220630","11160530",등촌2동
"20220630","11160540",등촌3동
"20220630","11160550",화곡본동
"20220630","11160570",화곡2동
"20220630","11160580",화곡3동
"20220630","11160590",화곡4동
"20220630","11160610",화곡6동
"20220630","11160630",화곡8동
"20220630","11160640",가양1동
"20220630","11160650",가양2동
"20220630","11160660",가양3동
"20220630","11160670",발산1동
"20220630","11160690",공항동
"20220630","11160700",방화1동
"20220630","11160710",방화2동
"20220630","11160720",방화3동
"20220630","11160730",화곡1동
"20220630","11160740",우장산동
"20220630","11170510",신도림동
"20220630","11170520",구로1동
"20220630","11170540",구로3동
"20220630","11170550",구로4동
"20220630","11170560",구로5동
"20220630","11170610",고척1동
"20220630","11170620",고척2동
"20220630","11170640",개봉2동
"20220630","11170650",개봉3동
"20220630","11170670",오류1동
"20220630","11170690",수궁동
"20220630","11170700",가리봉동
"20220630","11170710",구로2동
"20220630","11170720",개봉1동
"20220630","11170730",오류2동
"20220630","11170740",항동
"20220630","11180510",가산동
"20220630","11180520",독산1동
"20220630","11180530",독산2동
"20220630","11180540",독산3동
"20220630","11180550",독산4동
"20220630","11180570",시흥1동
"20220630","11180580",시흥2동
"20220630","11180590",시흥3동
"20220630","11180600",시흥4동
"20220630","11180610",시흥5동
"20220630","11190540",여의동
"20220630","11190550",당산1동
"20220630","11190560",당산2동
"20220630","11190610",양평1동
"20220630","11190620",양평2동
"20220630","11190630",신길1동
"20220630","11190650",신길3동
"20220630","11190660",신길4동
"20220630","11190670",신길5동
"20220630","11190680",신길6동
"20220630","11190690",신길7동
"20220630","11190700",대림1동
"20220630","11190710",대림2동
"20220630","11190720",대림3동
"20220630","11190730",영등포본동
"20220630","11190740",영등포동
"20220630","11190750",도림동
"20220630","11190760",문래동
